Unit,Owner On-Site,Owner Off-Site,Tenant,Unit Manager,Resident Only Not On Deed
501,1,0,0,0,0
502,3,0,2,0,0
601,0,2,3,0,0
602,2,0,0,0,0
603,1,0,0,0,0
605,2,0,0,0,0
606,0,2,1,0,0
607,1,0,2,0,0
608,0,1,2,1,0
609,0,1,1,0,0
610,0,2,2,0,0
611,0,1,1,0,0
701,0,2,2,0,0
702,0,2,1,0,0
703,2,0,0,0,0
705,1,0,0,0,0
706,1,0,1,0,0
707,0,2,3,0,0
708,0,1,1,0,0
709,2,0,0,0,0
710,1,0,0,0,0
711,0,2,2,0,0
801,0,2,1,0,0
802,2,0,1,0,0
803,0,1,1,0,0
805,0,3,3,1,0
806,0,1,1,0,0
807,2,0,0,0,0
808,1,0,0,0,0
809,1,0,4,0,0
810,0,1,2,0,0
811,2,0,1,0,0
901,0,1,1,1,0
902,1,0,0,0,0
903,1,0,0,0,0
905,0,2,3,0,0
906,0,2,1,0,0
907,0,1,1,0,0
908,0,1,2,0,0
909,2,0,2,0,0
910,0,2,4,0,0
911,0,2,1,0,0
1001,1,0,0,0,0
1002,1,0,0,0,0
1003,0,2,3,0,0
1005,1,0,2,0,0
1006,0,2,1,0,0
1007,0,2,2,1,0
1008,1,0,2,0,0
1009,1,2,2,0,0
1010,0,2,2,0,0
1011,2,0,1,0,0
